id,name,ingredients,allergenRaw,allergensmapped,link
92, Supergreen Salad M&S," cucumber , edamame soybeans , apple and ginger dressing , apples , sugar snap peas , broccoli, courgette, peas, spinach, coriander, golden linseed, hemp seeds, sunflower seeds, pumpkin seeds apple and ginger dressing concentrated apple juice, water, spinach, ginger pure, lime juice, mint infused sunflower oil, salt, mint, cornflour, dried mustard, vinegar, garlic pure, lime leaves, mustard husk, cracked black pepper, rapeseed oil, allspice, turmeric"," apple, mustard, soybeans",soy, https://world.openfoodfacts.org/product/00075473/supergreen-salad-marks-spencer 
93, Greek Style Salad Cheese Lidl, milk, milk,milk, https://world.openfoodfacts.org/product/20898717/greek-style-salad-cheese-lidl 
94, Salade de Thon Mexicaine Marque Repere," precuited tuna , red beans , water, red peppers , corn ,, green beans ,, carrots ,, onions ,, mini corn cobs in rounds ,, rapeseed oil, alcohol vinegar, salt, double tomato concentrate, natural aroma, spices, thick gum guar", fish,fish, https://world.openfoodfacts.org/product/3564700842058/salade-de-thon-mexicaine-marque-repere 
95, Ambrosia Rice Pudding," full cream milk , skimmed milk , whey , rice , sugar", milk,milk, https://world.openfoodfacts.org/product/5000354800931/ambrosia-rice-pudding 
96, Club Sandwich Tuna and Eggs Daunat," wholegrain sandwich bread  wheat flour , wholewheat flour , water, rapeseed oil, salt, wheat gluten, yeast, spirit vinegar, reducedfat mayonnaise  water, rapeseed oil, starch, mustard water, mustard seeds, spirit vinegar, salt, egg yolk, spirit vinegar, sugar, salt, thickener guar gum, skipjack tuna in brine  skipjack tuna, water, salt, tomato , egg  egg, acidifier citric acid tomato  expressed on the finished product","  eggs, fish, gluten, mustard","egg, fish, wheat", https://world.openfoodfacts.org/product/3367651000016/the-classic-club-sandwich-tuna-and-eggs-daunat 
97, Best Lamb Gravy Bisto," potato starch, dried glucose syrup, salt, flavour enhancers monosodium glutamate, disodium ribonucleotides, rapeseed oil, flavourings, colour ammonia caramel, lamb powder , onion powder, potassium chloride, emulsifier soya lecithin, herbs, black pepper extract, onion oil, rosemary extract"," gluten, soybeans","wheat, soy", https://world.openfoodfacts.org/product/5000354922862/best-lamb-gravu-bisto 
98, Vegetarian Lamb Steaks Linda McCartney's," rehydrated textured soya protein , rapeseed oil, onion , stabiliser methyl cellulose, chickpea flour, onion powder, flavouring, sugar, yeast extract, salt, maltodextrin, garlic, malted barley extract, mint, parsley, black pepper, acid citric acid, thyme"," gluten, soybeans","wheat, soy", https://world.openfoodfacts.org/product/5056053309473/vegetarian-quick-cook-lamb-steaks-linda-mccartney-s 
99, Gerble Apple Blackcurrant Cake," sweetener maltitols, wheat flour , apple puree , rapeseed oil, wholewheat flour , humectant vegetablebased glycerol, blackcurrant puree , wheat starch, wheat fibers, concentrated lemon juice, sea salt, emulsifier rapeseed lecithins, natural blackcurrant flavoring, raising agents citric acid, sodium carbonates", gluten,wheat, https://world.openfoodfacts.org/product/3175681270749/gerble-no-sugar-added-apple-blackcurrant-cake-filling-180g-6-4oz 
100, Crownfield Special Flakes Red Fruit,"  wholegrain wheat, ground rice, sugar, , freeze dried fruit in varying proportions strawberries, cherries, salt, barley malt extract", gluten,wheat, https://world.openfoodfacts.org/product/20621452/crownfield-special-flakes-red-fruit 
101, Chicken Carrot and Houmous Wrap M&S," wholemeal wheatflour contains gluten, pickled carrots  carrots, water, rice wine vinegar, sugar, salt, roast chicken breast , water, chickpeas, spinach, pumpkin seeds, lemon juice, palm oil sugar, carrots, olive oil, rapeseed oil, onions, white wine vinegar wheatflour with wheatflour, calcium carbonate, iron, niacin, thiamin, wheat fibre contains gluten, salt, humectant glycerol, garlic pure, raising agent e, sodium bicarbonate, cracked black pepper, chicken stock water, chicken bones, seaweed, chicken skin, yeast extract, shiitake mushrooms, sugar, acidity regulator malic acid, cornflour, potato starch, emulsifier e, virgin olive oil, stabiliser e, firming agent e, wheat starch contains gluten", gluten,wheat, https://world.openfoodfacts.org/product/29320646/chicken-carrot-and-houmous-wholemeal-wrap-marks-spencer 
102, Cottage Cheese with Pineapple Longley Farm," milk, pineapple , salt", milk,milk, https://world.openfoodfacts.org/product/5010578008044/cottage-cheese-with-pineapple-longley-farm 
103, Nutella Ferrero," sugar, palm oil, hazelnuts, skimmed milk, cocoa"," milk, nuts, soybeans","milk, tree nut, soy", https://world.openfoodfacts.org/product/3017620425035/nutella-ferrero 
104, Authentique Wasa," wholemeal rye flour  g, rye flour  g, yeast, salt, may contain traces of milk and sesame seeds", gluten,wheat, https://world.openfoodfacts.org/product/7300400481595/authentique-wasa 
105, Milka Alpine Milk Chocolate," sugar, cocoa butter, cocoa mass, skimmed milk powder, sweet whey powder from milk, concentrated butter, emulsifier soya lecithine, hazelnut paste, flavouring"," milk, nuts, soybeans","milk, tree nut, soy", https://world.openfoodfacts.org/product/3045140105502/milka-alpine-milk-chocolate-bar 
106, 5% Greek Yogurt Fage," pasteurised skimmed milk, cream milk, live active yoghurt cultures l bulgaricus, s thermophilus, l acidophilus, bifidus, l casei no palm oil", milk,milk, https://world.openfoodfacts.org/product/5201054017432/5-greek-yogurt-fage 
107, Cookies Biscuits Lotus Biscoff," wheat flour, sugar, vegetable oils palm, rapeseed, candy sugar syrup, raising agent sodium hydrogen carbonate, soya flour, salt, cinnamon"," gluten, soybeans","wheat, soy", https://world.openfoodfacts.org/product/5410126716016/cookies-biscuits-lotus-biscoff 
108, Real Mayonnaise Stokes," rapeseed oil , free range pasteurised whole egg , water, extra virgin olive oil , unrefined raw cane sugar, acid acetic acid, sea salt, mustard"," eggs, mustard",egg, https://world.openfoodfacts.org/product/5060092690331/real-mayonnaise-stokes 
109, Original Pringles," dried potato, vegetable oils sunflower, corn, rice flour, starch of wheat, corn flour, emulsifier e, maltodextrin, salt, yeast extract, yeast powder, colour annatto",  gluten,wheat, https://world.openfoodfacts.org/product/5053990127726/original-pringles 
110, Muesli Crunchy 0 Hacendado," oat flakes gluten , vegetable fibers chicory, corn, flour  rice, wheat gluten, higholeic sunflower oil, barley malt extract gluten, flavorings, salt"," gluten, milk","wheat, milk", https://world.openfoodfacts.org/product/8402001010873/muesli-crunchy-0-hacendado 
111, Chocapic Cereals Nestle," whole wheat , chocolate powder  cocoa powder, wheat flour , cornmeal, glucose syrup, , barley malt extract barley, malted barley, contains sunflower andor palm oil, , emulsifier , , natural flavours, iron, vitamins b, b, d, b, b, b and b", gluten,wheat, https://world.openfoodfacts.org/product/7613034626844/chocapic-cereals-nestle 
112, Youwefit Omega-3 1250 Fish Oil," fish oil, capsule shell ingredient gelatin, purified water, humectants ins   ins  ii preservative ins  and artificial flavouring agent ethyl vanillin"," fish, gelatin",fish, https://world.openfoodfacts.org/product/8904463100357/youwefit-omega-3-1250-fish-oil-capsule-triple-strength-youwefit-is-sold-by-wellversed 
113, Bacalao Ajoarriero Aldi," cod gadus morhua fish , onion, green pepper, red pepper, potato, tomato, olive oil, choricero pepper pulp, salt, sunflower oil, corn starch, sugar, garlic, and antioxidants e, e, and e", fish,fish, https://world.openfoodfacts.org/product/4068263063510/bacalao-ajoarriero-aldi-specially-selected 
114, Cold Smoked Salmon Nautica,"  atlantic salmon salmo salar, salt, sodium lactate", fish,fish, https://world.openfoodfacts.org/product/20034658/cold-smoked-salmon-nautica 
115, Salmon Fillets Tesco, salmon , fish,fish, https://world.openfoodfacts.org/product/5057373699688/salmon-fillets-tesco 
116, Saumon Atlantique Fume Labeyrie," salmon, salt", fish,fish, https://world.openfoodfacts.org/product/3033610071303/saumon-atlantique-fume-norvege-labeyrie 
117, Taquitos de Salmon Ahumado Hacendado," smoked salmon, salt", fish,fish, https://world.openfoodfacts.org/product/8480000226121/taquitos-de-salmon-ahumado-hacendado 
118, Roasted Unsalted Cashews Pete's," cashews, cottonseed oil or safflower oil", nuts,tree nut, https://world.openfoodfacts.org/product/0609456365727/roasted-unsalted-cashews-pete-s 
119, No Added Sugar Muesli Alpen," wholegrain wheat , wholegrain rolled oats , raisins , skimmed milk powder, milk whey powder, roasted sliced nuts ,  hazelnuts , almonds , malted barley extract, salt"," gluten, milk, nuts","wheat, milk, tree nut", https://world.openfoodfacts.org/product/5010029219326/no-added-sugar-muesli-imp-alpen 
120, Chicken Tikka The Gym Kitchen," cooked spiced brown rice  tomato passata, water, brown rice, onions, coconut milk, garlic pure, ginger pure, salt, cumin seeds, turmeric, chilli powder, cardamom, cinnamon powder, cooked marinated chicken breast  chicken breast, tomato paste, inger pure, garlic pure, yogurt powder milk, cornflour, green chilli pure, salt, chilli powder, fenugreek, coriander powder, cumin powder, ginger powder, cinnamon powder, black pepper, mace, star anise, turmeric, basil flakes, cauliflower , greenlentils , spring greens ", milk,milk, https://world.openfoodfacts.org/product/5060084345539/chicken-tikka-the-gym-kitchen 
121, Risotto au Poulet Toque du Chef," water, cooked rice , salted treated chicken chicken  origin poland, tapioca starch, dextrose, salt, crme frache , cream of rice, porcini mushrooms cpes , button mushrooms , white wine , onions , rice starch, hard cheese, rapeseed oil, wheat flour, salt, chives , porcini powder, pepper"," gluten, milk","wheat, milk", https://world.openfoodfacts.org/product/4056489194965/risotto-au-poulet-et-aux-cepes-toque-du-chef 
122, Knacki Saucisses au Poulet Nestle," chicken meat and chicken skin , water, lactose, salt, pea protein, flavors wheat, celery, dextrose, antioxidant sodium isoascorbate, sodium nitrite, ferment, smoke"," gluten, milk","wheat, milk", https://world.openfoodfacts.org/product/7613035289291/knacki-saucisses-au-poulet-nestle 
123, Super Duper Chicken Nuggets Kidfresh," chicken breast meat, whole wheat flour, water, cauliflower, onions, unbleached wheat flour, natural flavors, salt, corn starch, yellow corn flour, rice starch, yeast, molasses, sea salt, leavening cream of tartar, baking soda, whole grain millet flour", gluten,wheat, https://world.openfoodfacts.org/product/0810882010024/super-duper-chicken-nuggets-kidfresh 
124, Pechuga de Pavo ElPozo," peacock , water, salt, soy protein, flavorings, stabilizers e, e, e, antioxidants e, e, preservative e", soybeans,soy, https://world.openfoodfacts.org/product/8410843145202/pechuga-de-pavo-lonchas-finas-elpozo 
125, Krisprolls Complets Sans Sucres," whole wheat flour , wheat flour, vegetable oils fully hydrogenated rapeseed oil, barley malt, yeast, salt", gluten,wheat, https://world.openfoodfacts.org/product/7311070032611/krisprolls-complets-sans-sucres-ajoutes 
126, 2 Lemon Pepper Fish Fillets," alaska pollock fillet  fish, wheat flour wheat flour, calcium carbonate, iron, niacin b, thiamin b, rapeseed oil, water, wheat starch, wheat gluten, rice flour, salt, yeast, black pepper, flavouring, lemon powder, raising agents diphosphate, sodium bicarbonate, sunflower oil, sea salt, citric acid, white pepper"," fish, gluten","fish, wheat", https://world.openfoodfacts.org/product/5000205048277/2-lemon-pepper-fish-fillets-yew-tree-dairy 
127, Youngs Salt Pepper Basa Fillets," basa fillet  fish, wheat flour wheat flour, calcium carbonate, iron, niacin b, thiamin b, rapeseed oil, rice flour, polenta flour, cornflour, sea salt, dried skimmed milk black pepper, onion powder, garlic powder, yeast, salt"," fish, gluten, milk","fish, wheat, milk", https://world.openfoodfacts.org/product/5000205046990/youngs-salt-pepper-basa-fillets-2pk 
128, Salt Chilli Pepper Nuts Seeds," almonds, cashew nuts, pumpkin seeds, sunflower seeds, tamari soya  cider vinegar, aleppo flakes , sesame oil"," nuts, sesame seeds, soybeans","tree nut, sesame, soy", https://world.openfoodfacts.org/product/5060544130279/salt-chilli-pepper-nuts-seeds-boundless 
129, Gochujang Ajumma Republic," wheat flour, corn syrup, mixed seasoning red chilli pepper powder , water, salt, garlic, onion, water, salt, red chilli pepper powder , ethyl alcohol, hydrolyzed wheat protein", gluten,wheat, https://world.openfoodfacts.org/product/8809410721459/gochujang-ajumma-republic 
130, Bell Peppers with Cream Cheese M&S," cherry peppers  cherry peppers sugar white wine vinegar  salt acidity regulator citric acid, goats cheese milk  acidity regulator citric acid preservative e, vegetable oils sunflowerrefined rapeseed", milk,milk, https://world.openfoodfacts.org/product/00740265/bell-peppers-with-cream-cheese-m-s-food 
131, Chocolate Fondant with Salt Lindt," sugar, cocoa mass, cocoa butter, sea salt"," milk, soybeans","milk, soy", https://world.openfoodfacts.org/product/3046920029674/chocolate-fondant-with-salt-lindt 
132, Sea Salt Black Pepper Cashews Sainsbury's,"cashew nuts , rapeseed oil, palm oil, black pepper , sea salt , rice flour, sugar, yeast extract powder, white pepper, flavouring, acid citric acid", nuts,tree nut, https://world.openfoodfacts.org/product/00429993/sea-salt-black-pepper-cashews-by-sainsbury-s 
133, Gerble Salt Free Biscuits," wheat flour , brown cane sugar, rapeseed oil, raisins , soya flour, grape paste , chicory fibre fructooligosaccharides, baking powders potassium carbonates, ammonium carbonates, milk proteins"," gluten, lupin, milk, nuts, soybeans","wheat,milk, tree nut, soy", https://world.openfoodfacts.org/product/3251491787810/gerble-salt-free-biscuits-with-raisins-20-pc-360g 
134, Japanese Rainbow Slaw BOL," black rice , edamame beans  soya, black turtle beans , carrots , red peppers , cabbage , leafy greens , soy and ginger dressing  miso glaze white miso paste water, soya beans, rice, salt, alcohol, rice vinegar, mirin glutinous rice, water, alcohol, rice, sugar, ginger pure, lime juice, ginger pure, water, soy sauce water, soya beans, wheat, salt, alcohol, vinegar, rapeseed oil, brown sugar, cornflour"," gluten, soybeans","wheat, soy", https://world.openfoodfacts.org/product/5060430290322/japanese-rainbow-slaw-salad-jar-bol 
135, Fresh Noodles Japanese Teriyaki BOL," teriyakihoisin sauce  water, hoisin sauce water, sugar, barley malt vinegar, soya beans, cornflour, salt, tomato paste, garlic pure, spices, rapeseed oil, dried onion, barley malt extract, wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, garlic powder, soy sauce water, soya beans, wheat, salt, alcohol, sugar cane vinegar, brown sugar, white miso glaze water, soya beans, rice vinegar, mirin, rice, sugar, salt, ginger pure, alcohol, cornflour, rice vinegar, turmeric noodles  water, wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, rapeseed oil, salt, ground turmeric, ground paprika, firming agents potassium carbonate, sodium carbonates, acidity regulator citric acid, veggies  baby corn, edamame beans soya, black turtle beans, leaf mix  leafy greens, carrot, pak choi"," gluten, soybeans","wheat, soy", https://world.openfoodfacts.org/product/5060430292104/fresh-noodles-japanese-teriyaki-bol 
136, Milky Way," milk chocolate sugar, cocoa butter, skim milk, chocolate, lactose, milkfat, soy lecithin, corn syrup, sugar, palm oil, skim milk, less than  of milkfat, cocoa powder processed with alkali, barley malt extract, lactose, salt, egg whites, chocolate, artificial flavor"," eggs, milk, soybeans","egg, milk, soy", https://world.openfoodfacts.org/product/5000159413589/milkyway-milky-way 
137, Toblerone," milk chocolate sugar, milk ingredients, cocoa butter, unsweetened chocolate, soy lecithin, artificial flavour, nougat sugar, honey, almonds, dried eggwhite, citric acid contains milk, soy, almond, egg"," eggs, milk, nuts, soybeans","egg, milk, tree nut, soy", https://world.openfoodfacts.org/product/07027703/toblerone 
138, Cooked Shrimp WinCo Foods," shrimp, water, salt, sodium tripolyphosphate to retain moisture contains crustacean shellfish shrimp", crustaceans,shellfish, https://world.openfoodfacts.org/product/0070552308145/cooked-shrimp-winco-foods 
139, Shrimp Tampa Bay Fisheries," shrimp, bleached wheat flour, enriched wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, modified corn starch, yellow corn flour, modified potato starch, salt, sugar, garlic powder, onion powder, maltodextrin"," crustaceans, gluten","shellfish, wheat", https://world.openfoodfacts.org/product/0024732275277/shrimp-tampa-bay-fisheries 
140, Medium Raw Shrimp Great Value," shrimp, water, salt, sodium tripolyphosphate", crustaceans,shellfish, https://world.openfoodfacts.org/product/0078742133867/medium-raw-shrimp-great-value 
141, Coles Prawns in Brine," prawns , water, salt, sugar, stabilisers , , , food acid citric acid, preservative ", crustaceans,shellfish, https://world.openfoodfacts.org/product/9300601185559/coles-prawns-in-brine 
142, Raw Shrimp Adelphia Seafood," shrimp, sodium bisulfite, sodium tripolyphosphate to retain moisture", crustaceans,shellfish, https://world.openfoodfacts.org/product/0820324237124/raw-shrimp-adelphia-seafood 
143, Creamy Peanut Butter Peanut Delight," dry roasted peanuts, sugar, hydrogenated vegetable ol rapeseed, cottonseed, soybean, salt, molasses"," peanuts, soybeans","peanut, soy", https://world.openfoodfacts.org/product/1426190103106/creamy-peanut-butter-peanut-delight 
144, Creamy Peanut Butter American," peanuts, dextrose, hydrogenated vegetable oil cotton  seed andor rapeseed, and salt", peanuts,peanut, https://world.openfoodfacts.org/product/0073147105006/creamy-peanut-butter-american 
145, Chocolate Peanut Butter Clif Builders," soy protein, cane syrup, peanut butter, cocoa"," peanuts, soybeans","peanut, soy", https://world.openfoodfacts.org/product/0722252168504/chocolate-peanut-butter-clif-builders-protein 
146, Overnight Oats Peanut Butter Trader Joe's," water, rolled oats, dates, peanut butter, partially defatted peanut flour, salt", peanuts,peanut, https://world.openfoodfacts.org/product/00775441/overnight-oats-peanut-butter-trader-joe-s 
147, Peanut Butter Filled Dates," dates, peanuts, cocoa, butter, himalayan pink salt"," milk, peanuts","milk, peanut", https://world.openfoodfacts.org/product/0850040419375/peanut-butter-filled-dates-freakin-wholesome 
148, Creamy Peanut Butter Great Value," peanuts, sugar, contains  or less of hydrogenated vegetable oil cottonseed oil, soybean oil, rapeseed oil, salt, molasses, monoglycerides", soybeans,soy, https://world.openfoodfacts.org/product/0194346116607/creamy-peanut-butter-great-value 
149, Peanut Butter Cup Ice Cream Great Value," milk, cream, skim milk, sugar, buttermilk, whey, peanut butter ribbon and flavor base peanuts, peanut oil, salt, mono and diglycerides, peanut butter cups sugar, coconut oil, peanut butter peanuts, salt, partially defatted peanut flour, nonfat milk, whole milk, cocoa processed with alkali, salt, soy lecithin, natural flavors, chocolate fudge ribbon corn syrup, sugar, water, palm oil, chocolate liquor, cocoa processed with alkali, pectin, mono and diglycerides, polysorbate , corn syrup, contains less than  of mono and diglycerides, carob bean gum, guar gum, cellulose gel, cellulose gum, carrageenan"," milk, peanuts, soybeans","milk, peanut, soy", https://world.openfoodfacts.org/product/0078742077017/peanut-butter-cup-ice-cream-great-value 
150, Five Bean Salad Napolina," vegetables in variable proportions  red kidney beans, black eye beans, borlotti beans, pea navy beans, baby green lima beans, sweetcorn, water, white wine vinegar , salt, sugar, mustard powder, garlic powder, antioxidant ascorbic acid, pepper, firming agent calcium chloride, pepper extract, basil extract", mustard,no allergens detected, https://world.openfoodfacts.org/product/5000232849816/five-bean-salad-napolina 
151, Honey Mustard Dressing Sainsbury's," water, honey , white wine vinegar sugar, wholegrain mustard  water, mustard seed spirit vinegar, salt, dijon mustard  water, mustard seed, spirit vinegar, salt, cornflour, mustard seeds, salt, garlic pure, mustard powder, black pepper", mustard,no allergens detected, https://world.openfoodfacts.org/product/01477610/be-good-to-yourself-honey-mustard-dressing-sainsbury-s 
152, Organic Lightly Salted Rice Cakes Kallo," organic wholegrain rice , sea salt",  rice,no allergens detected, https://world.openfoodfacts.org/product/5013665100065/organic-lightly-salted-wholegrain-low-fat-rice-cakes-kallo 
153, Robinsons Apple & Blackcurrant," water, fruit juices from concerntrate apple , blackcurrant , acids citric acid, malic acid, natural colour anthocyanins, natural flavouring, acidity regulator sodium citrate, sweeteners acesulfame k, sucralose, preservatives potassium sorbate, sodium metabisulphite , stabiliser cellulose gum"," apple, metabisulphite",no allergens detected, https://world.openfoodfacts.org/product/5000147030149/robinsons-apple-blackcurrant 
154, Mes Carottes Rapees Pierre Martinet," carrots , water, rapeseed oil, dehydrated chives, spices, lemon juice based on concentrate, mustard water, mustard seeds, alcohol vinegar, salt, alcohol vinegar, concentrated orange juice, lemon extract, salt, processed starch, thickener xanthan gum, preservative potassium sorbate", mustard,no allergens detected, https://world.openfoodfacts.org/product/3281780894950/mes-carottes-rapees-a-la-ciboulette-pierre-martinet 
155, Fruit Splits Raspberry Pineapple Bear," apples , pears , pineapple , raspberries , black carrot extract ", apple,no allergens detected, https://world.openfoodfacts.org/product/5060139436151/fruit-splits-raspberry-pineapple-bear 
156, Maggi Bouillon Kub Volaille," iodized salt, sugar, potato starch, mineral salt potassium, shea butter, flavors ble, salt, poultry  chicken fat, chicken extract ,, amino plant extract ble, turmeric, carrot, parsley, celeri root and garlic extract, antioxidant rosemary extracts, fat and freetoair chicken extract"," gluten, celeri",no allergens detected, https://world.openfoodfacts.org/product/7613032397623/maggi-bouillon-kub-volaille-reduit-en-sel-de-25-120g-nestle 
157, Blanc de Dinde Fleury Michon," turkey fillet , broth water, chicken bones, turkey meat, shallot, garlic, spices, herbs, carrot, celery , onion, leek, salt, salt, dextrose of corn, concentrate of carrot and celery , enzymes, antioxidant  sodium ascorbate, colour  plain caramel", celery,no allergens detected, https://world.openfoodfacts.org/product/3095756308019/blanc-de-dinde-dore-au-four-fleury-michon 
158, Roast Chicken Slice Tesco," chicken breast , pea starch, dextrose, salt, stabilisers tetrapotassium diphosphate, disodium diphosphate, chicken, yeast extract, chicken fat, caramelised sugar syrup, sugar, onion powder, lemon juice from concentrate, black pepper, sage extract", chicken,no allergens detected, https://world.openfoodfacts.org/product/5059697724442/roast-chicken-slice-tesco 
159, Organic Chicken Stock Kirkland," organic chicken stock, organic vegetable stock organic carrot, organic celery root, organic onion juice concentrate, sea salt, natural flavor, organic tumeric concentrate, organic ground bay leaves, organic black pepper extract", celery,no allergens detected, https://world.openfoodfacts.org/product/0096619782581/organic-chicken-stock-kirkland-signature 
160, Strawberry Jam Bonne Maman," strawberries, sugar, cane sugar, concentrated lemon juice, gelling agent fruit pectin", none,no allergens detected, https://world.openfoodfacts.org/product/3045320094008/strawberry-jam-bonne-maman 
161, Gazpacho Alvalle," tomato, pepper, cucumber, onion, extra virgin olive oil , wine vinegar, salt, garlic, lemon juice", none,no allergens detected, https://world.openfoodfacts.org/product/3168930163480/gazpacho-alvalle 
162, Confiture Abricot Intense Bonne Maman," apricots, sugar, lemon juice, pectin", none,no allergens detected, https://world.openfoodfacts.org/product/3608580823452/confiture-abricot-intense-bonne-maman 
163, Organic Vegetable Stock Cubes Kallo," sea salt, palm oil, vegetables onion, carrot, celery", celery,no allergens detected, https://world.openfoodfacts.org/product/5013665112273/organic-vegetable-stock-cubes-kall%C3%B8 
164, Organic Swiss Vegetable Bouillon Marigold," sea salt, potato starch, sustainable palm oil, sugar, vegetables  celery, onion, parsnip, tomato, sunflower oil, yeast extract, caramelised sugar, herbs and spices lovage, turmeric, parsely, black pepper", celery,no allergens detected, https://world.openfoodfacts.org/product/5016084235516/organic-swiss-vegetable-vegan-bouillon-powder-marigold 
165, Pom'Potes Materne," apple  puree and concentrated puree, pear , antioxidant ascorbic acid", none,no allergens detected, https://world.openfoodfacts.org/product/3021769505626/pom-potes-pomme-poire-materne
166, Apple rice cakes mamia," organic white rice , organic apple juice concentrate , vitamin b", none,no allergens detected, https://world.openfoodfacts.org/product/4088600341828/apple-rice-cakes-mamia
167, Cloudy Apple Juice Copella," apple juice, antioxidant vitamin c ascorbic acid", none,no allergens detected, https://world.openfoodfacts.org/product/5012876336096/cloudy-apple-juice-copella
168, Carrefour Celerlac," celeriac, water, spirit vinegar, sugar, salt, acidifier citric acid contains celery, firming agent calcium chloride, antioxidant ascorbic acid", celery,no allergens detected, https://world.openfoodfacts.org/product/3560070603046/carrefour-celerlac
169, Strawberries & Bananas Innocent,"  pressed apple ,  crushed strawberries ,  of a mashed banana ,  pressed white grapes, a splash of squeezed orange,  crushed blackcurrants, a splash of pressed beetroot", none,no allergens detected, https://world.openfoodfacts.org/product/5038862320108/strawberries-bananas-innocent
170, Nesquik banana flavor Nestlé," sugar, rice flour, natural flavouring vitamin c, vitamin d, carotenes", none,no allergens detected, https://world.openfoodfacts.org/product/8445290293312/nesquik-banana-flavor-nestle
171, Chopped Tomatoes Tesco," tomatoes , tomato juice, acidity regulator citric acid", none,no allergens detected, https://world.openfoodfacts.org/product/5057545745946/chopped-tomatoes-tesco
172, Beet It Organic Beetroot," organic beetroot juice , organic apple juice ", none,no allergens detected, https://world.openfoodfacts.org/product/5020934001008/beet-it-organic-beetroot-juice-1-litre-james-white
173, Blackcurrant Squash Ribena," water, blackcurrant juice from concentrate , sugar, thickener polydextrose, acidity regulator sodium gluconate, acid citric acid, vitamin c, natural blackcurrant flavourings, extracts of carrot and hibiscus, preservatives potassium sorbate, sodium bisulphite, sweeteners acesulfame k, sucralose", none,no allergens detected, https://world.openfoodfacts.org/product/5054267003378/blackcurrant-squash-ribena
174, Pineapple juice Solevita, pineapple juice, none,no allergens detected, https://world.openfoodfacts.org/product/20093273/pineapple-juice-solevita
175, Raw Boost Mockingbird,"   pressed apples,  orange,  crushed blackcurrants ,  crushed strawberries ,   blueberries, squeeze of beetroot , crushed acai berries , crushed spinach , crushed kale , vitamin c ascorbic acid, vitamin b", none,no allergens detected, https://world.openfoodfacts.org/product/5060406461725/raw-boost-mockingbird
176, Pressed Apple Juice Not From Concentrate Tesco," apple juice, antioxidant ascorbic acid", none,no allergens detected, https://world.openfoodfacts.org/product/5052910758996/pressed-apple-juice-not-from-concentrate-tesco
177, apple juice Innocent," apples, antioxidant ascorbic acid", apple,no allergens detected, https://world.openfoodfacts.org/product/5038862104708/apple-juice-innocent
178, Lemon Juice by Sainsbury's," lemon juice from concentrate sulphites, lemon oil, preservative potassium metabisulphite sulphites", sulphur dioxide and sulphites,no allergens detected, https://world.openfoodfacts.org/product/01180992/lemon-juice-by-sainsbury-s
179, Bolt from the Blue Innocent," apples , coconut water , grapes, white guava , passion fruit, spirulina extract , lime , vitamin b, vitamin b, vitamin b, vitamin b, vitamin e", apple,no allergens detected, https://world.openfoodfacts.org/product/5038862138697/bolt-from-the-blue-innocent
180, Passata di Pomodoro Mutti," tomato , salt", none,no allergens detected, https://world.openfoodfacts.org/product/80042563/passata-di-pomodoro-mutti
181, Vegetable Stock Pot Knorr," concentrated vegetable stock water, carrots, leek, red bell pepper, celeriac , glucose syrup, salt, yeast extract, palm fat, sugar, potassium chloride, parsley, vegetable juice concentrate celery, carrots, leek, onions ,, spices celery seeds, lovage root, nutmeg, pepper, gelling agents xanthan gum, locust bean gum, flavourings, caramel syrup, maltodextrin", celery,no allergens detected, https://world.openfoodfacts.org/product/8712566479665/vegetable-stock-pot-8-x-imp-knorr
182, Buttery Taste Dairy Free Pure," vegetable oils  rapeseed, palm, water, salt , natural flavourings, vitamin e, vitamin ad, natural colour carotenes, vitamin b", none,no allergens detected, https://world.openfoodfacts.org/product/5025878004887/buttery-taste-dairy-free-pure
183, Gazpacho Original Alvalle," tomato, pepper, cucumber, onion, extra virgin olive oil, water, wine vinegar, salt, garlic and lemon juice", none,no allergens detected, https://world.openfoodfacts.org/product/8422174010029/gazpacho-original-alvalle
184, Puglian Extra Virgin Oil Aldi, extra virgin olive oil, none,no allergens detected, https://world.openfoodfacts.org/product/4088600391977/puglian-extra-virgin-oil-aldi
185, Vegetable Stock Cubes Newgate," salt, starch, palm fat,  vegetables onion, carrot, tomato, leek, celery, bell pepper, sugar, herbs, yeast extract, spices contain celery, natural flavourings, caramelised sugar syrup, maltodextrin", celery,no allergens detected, https://world.openfoodfacts.org/product/20995195/vegetable-stock-cubes-newgate
186, Fruit Rolls Bear," apples, pears, strawberries, a little black carrot extract", none,no allergens detected, https://world.openfoodfacts.org/product/5060139430241/fruit-rolls-bear
187, Blue Machine Blueberry Smoothie Naked," apple juice from concentrate , apple puree , banana puree, blueberry puree , blackcurrant puree , elderberry juice, go berry extract , natural flavourings, vitamins c b, thiamine, riboflavin", none,no allergens detected, https://world.openfoodfacts.org/product/5022313395401/blue-machine-blueberry-smoothie-naked
188, Sylt Hallon & Blåbär," sugar, raspberries , blueberries   vaccinium myrtillus, gelling agent e, acidity regulator e", none,no allergens detected, https://world.openfoodfacts.org/product/1702881020007/sylt-hallon-blabar-framboesa-e-mirtilo-ikea
